Graph,|V|,|E|,color_coding_count #graphlets,color_coding_count CPU time,fast_triangle_counting #graphlets,fast_triangle_counting CPU time,tri_heuristic_1 #graphlets,tri_heuristic_1 CPU time,tri_heuristic_2 #graphlets,tri_heuristic_2 CPU time,tri_edge_iter_sorted #graphlets,tri_edge_iter_sorted CPU time,tri_edge_iter_merge #graphlets,tri_edge_iter_merge CPU time,tri_edge_iter_hash #graphlets,tri_edge_iter_hash CPU time,tri_edge_iter_binsearch #graphlets,tri_edge_iter_binsearch CPU time,tri_forward_sorted #graphlets,tri_forward_sorted CPU time,tri_forward_merge #graphlets,tri_forward_merge CPU time,tri_forward_hash #graphlets,tri_forward_hash CPU time,tri_forward_binsearch #graphlets,tri_forward_binsearch CPU time,tri_vert_iter_sorted #graphlets,tri_vert_iter_sorted CPU time,tri_vert_iter_hash #graphlets,tri_vert_iter_hash CPU time,tri_vert_iter_binsearch #graphlets,tri_vert_iter_binsearch CPU time,tri_bader #graphlets,tri_bader CPU time,color_coding_countk4 #graphlets,color_coding_countk4 CPU time,k4 #graphlets,k4 CPU time,tri_n3 #graphlets,tri_n3 CPU time,tri_snap #graphlets,tri_snap CPU time,tri_networkx #graphlets,tri_networkx CPU time,pgd #graphlets,pgd CPU time
citeulike-ui,731769,2411819,689838000.0,13.005857753753665,989.0,1.632479476928711,1012.0,0.8559215068817139,1012.0,1.3637711524963378,1012.0,1.4404069900512697,1012.0,1.478633213043213,1012.0,1.4110692977905273,1012.0,1.4386909484863282,3122.0,1.714441108703613,2673.0,1.379400634765625,2673.0,1.4898144245147704,2673.0,1.3607643604278563,1012.0,1.3872134685516355,1012.0,1.4417668342590333,1012.0,1.5037028312683105,989.0,1.0707262992858886,1974516000.0,18.684587955474854,0.0,2.1251405239105225,-1.0,900.0,,,1012.0,6.963446950912475,-1.0,5.497010326385498
fb-pages-media,27917,206259,20395660.0,1.3441476821899414,269183.0,0.3069598197937012,387444.0,0.2066786766052246,387444.0,0.1676381587982177,387444.0,0.1472905158996582,387444.0,0.1616436958312988,387444.0,0.1406427383422851,387444.0,0.1644763469696045,387444.0,0.2144360542297363,387444.0,0.1796298027038574,387444.0,0.148506212234497,387444.0,0.172760009765625,387444.0,0.1544333934783935,387444.0,0.1634859085083007,387444.0,0.1852904796600341,269183.0,0.1795080184936523,1064806000.0,2.747011184692383,818754.0,2.9214850425720216,-1.0,900.0,,,387444.0,1.0322139263153076,-1.0,0.9726519107818603
fb-pages-politician,5908,41729,3470924.0,0.1747925281524658,144711.0,0.0680752754211425,174632.0,0.0400407791137695,174632.0,0.0359164237976074,174632.0,0.0324244499206543,174632.0,0.0346571922302246,174632.0,0.0332502365112304,174632.0,0.0362256050109863,174632.0,0.0428616046905517,174632.0,0.036997652053833,174632.0,0.032977819442749,174632.0,0.0368330955505371,174632.0,0.0332973003387451,174632.0,0.0346666812896728,174632.0,0.0386560916900634,144711.0,0.0372828006744384,148433200.0,0.2687490940093994,654994.0,0.5801462650299072,174632.0,407.1891058444977,,,174632.0,0.3944693565368652,-1.0,0.158613920211792
n4c6-b9,198895,1865580,67952000.0,14.437462663650512,439.0,3.4946454524993897,439.0,1.428431510925293,439.0,1.1654417991638184,439.0,1.134641599655151,439.0,0.8717916011810303,439.0,0.9148988246917724,439.0,0.8529499053955079,439.0,1.62369647026062,439.0,0.9375469207763673,439.0,1.0067690372467042,439.0,0.9307560920715332,439.0,1.149627161026001,439.0,0.9126882553100586,439.0,0.8628571510314942,439.0,2.0993392944335936,1239268000.0,35.45239081382751,0.0,7.8233592987060545,-1.0,900.0,,,439.0,6.752448177337646,-1.0,2.631087303161621
soc-advogato,6551,51332,6526226.0,0.1694295406341552,94992.0,0.0724564552307129,99307.0,0.0487576484680175,99307.0,0.042667007446289,99307.0,0.0372014999389648,99307.0,0.0517921447753906,99307.0,0.0401400089263916,99307.0,0.0504411697387695,127709.0,0.0464425086975097,126873.0,0.0404333591461181,126873.0,0.0374958992004394,126873.0,0.0397692680358886,99307.0,0.0400299549102783,99307.0,0.0458764553070068,99307.0,0.0560672760009765,94992.0,0.0422337055206298,404602000.0,0.2789456844329834,175678.0,0.8757624626159668,99307.0,582.6000705718994,,,99307.0,0.4037146091461182,-1.0,0.28325815200805665
soc-BlogCatalog,88784,2093195,5129398000.0,13.78486156463623,51193049.0,24.670056676864625,51193389.0,18.729583644866945,51193389.0,16.779729461669923,51193389.0,6.886858749389648,51193389.0,14.262178468704224,51193389.0,7.262191200256348,51193389.0,13.471837854385376,51193389.0,9.335175275802612,51193389.0,11.311302518844604,51193389.0,5.369993734359741,51193389.0,10.474099731445312,51193389.0,10.299103212356568,51193389.0,10.717425870895386,51193389.0,17.61039638519287,51193049.0,12.694079065322876,2508964000000.0,31.276179790496823,-1.0,900.0,-1.0,900.0,,,51193389.0,24.62182292938233,-1.0,900.0
soc-firm-hi-tech,36,147,1206.0,0.0083446979522705,57.0,0.0080041885375976,77.0,0.0060634136199951,77.0,0.0057913303375244,77.0,0.0058960914611816,77.0,0.0052026271820068,77.0,0.0056707382202148,77.0,0.0055192470550537,135.0,0.0055207252502441,133.0,0.0055073261260986,133.0,0.0061397552490234,133.0,0.0059382915496826,77.0,0.0057937622070312,77.0,0.0057943820953369,77.0,0.0056546211242675,57.0,0.0057705402374267,2090.67,0.0076386451721191,29.0,0.0057287693023681,77.0,0.006491994857788,,,77.0,0.2606517314910889,-1.0,0.006021976470947266
soc-hamsterster,2426,16630,1392030.0,0.0699103832244873,51963.0,0.0278414249420166,53251.0,0.0165764331817626,53251.0,0.0163530349731445,53251.0,0.0158748626708984,53251.0,0.0153549194335937,53251.0,0.0161695957183837,53251.0,0.0167137622833251,53251.0,0.0189388275146484,53251.0,0.015202522277832,53251.0,0.0158927917480468,53251.0,0.0160549640655517,53251.0,0.0164801597595214,53251.0,0.0177128791809082,53251.0,0.0171074867248535,51963.0,0.0169155597686767,60969100.0,0.1004589080810546,132809.0,0.1788599491119384,53251.0,27.56592736244201,,,53251.0,0.3084935188293457,-1.0,0.059010887145996095
soc-LiveMocha,104103,2193083,1432932000.0,16.470946788787842,3361651.0,9.53072772026062,3361651.0,8.586665630340576,3361651.0,8.114788055419922,3361651.0,3.9807441234588623,3361651.0,4.963419532775879,3361651.0,3.2447148323059083,3361651.0,5.260836935043335,3361651.0,5.721461296081543,3361651.0,5.989927101135254,3361651.0,3.466132259368897,3361651.0,4.917274808883667,3361651.0,5.795950984954834,3361651.0,4.118786811828613,3361651.0,6.242162084579467,3361651.0,5.2379295349121096,341517200000.0,38.178435468673705,-1.0,900.0,-1.0,900.0,,,3361651.0,11.384562587738037,-1.0,900.0
soc-twitter-follows-mun,465017,835423,375932400.0,505.0441222667694,37323.0,2.105971670150757,38389.0,0.7704952239990235,38389.0,0.8748363018035888,38389.0,0.9075660228729248,38389.0,1.1729379177093506,38389.0,0.9423147201538086,38389.0,1.0518673419952391,43676.0,1.084925079345703,40871.0,1.1124556064605713,40871.0,0.9055207252502442,40871.0,0.866972017288208,38389.0,0.924737548828125,38389.0,1.594497013092041,38389.0,1.5990029335021974,37323.0,1.1700076103210448,8085512000.0,15.462088871002198,4961.0,25.065246438980104,-1.0,900.0,,,38389.0,4.1999444484710695,-1.0,7.81752495765686
soc-wiki-vote,889,2914,100195.4,0.0333478927612304,1841.0,0.0110398769378662,2119.0,0.0072028160095214,2119.0,0.0079738140106201,2119.0,0.0078943252563476,2119.0,0.0076785564422607,2119.0,0.0078968048095703,2119.0,0.0078043937683105,2119.0,0.0090114116668701,2119.0,0.0078773975372314,2119.0,0.0080247402191162,2119.0,0.0075932502746582,2119.0,0.0078065872192382,2119.0,0.0080945014953613,2119.0,0.0075689315795898,1841.0,0.0079976081848144,1651168.0,0.0314630985260009,836.0,0.0117848396301269,2119.0,1.0968746662139892,,,2119.0,0.2670362472534179,-1.0,0.011063480377197265
